Topologia: random_20comp_3AND_6OR
T_max: 500, Step: 10
============================================================

t	Range_α	Range_β	P_is	P_mc	std_is	std_mc
10.0	[8.53,15.57]	[7.96,8.47]	5.526692e-03	5.511869e-03	2.520369e-04	2.398938e-04
20.0	[8.05,14.75]	[7.63,8.15]	8.693085e-03	1.119172e-02	3.350509e-04	3.408586e-04
30.0	[7.52,13.86]	[7.28,7.80]	2.213106e-02	1.663010e-02	1.015474e-03	4.143579e-04
40.0	[6.98,12.95]	[6.91,7.44]	1.838458e-02	2.152254e-02	5.560169e-04	4.702101e-04
50.0	[6.33,11.88]	[6.48,7.02]	2.774321e-02	2.864072e-02	1.165056e-03	5.404453e-04
60.0	[5.66,10.80]	[6.02,6.58]	2.719031e-02	3.263026e-02	8.367443e-04	5.756736e-04
70.0	[5.06,9.82]	[5.55,6.12]	3.260891e-02	3.778517e-02	8.556912e-04	6.178265e-04
80.0	[4.49,8.91]	[5.08,5.68]	3.856058e-02	4.451490e-02	8.676501e-04	6.682431e-04
90.0	[3.95,8.03]	[4.63,5.25]	4.748503e-02	4.831547e-02	1.887455e-03	6.947993e-04
100.0	[3.42,7.16]	[4.19,4.85]	5.012323e-02	5.471973e-02	1.108662e-03	7.369229e-04
110.0	[2.91,6.32]	[3.75,4.46]	5.585006e-02	5.855180e-02	1.297516e-03	7.607433e-04
120.0	[2.45,5.54]	[3.33,4.09]	5.975933e-02	6.529202e-02	9.918860e-04	8.004567e-04
130.0	[2.09,4.89]	[2.94,3.74]	3.822524e-02	6.831568e-02	7.928677e-02	8.174560e-04
140.0	[1.83,4.38]	[2.57,3.43]	7.443731e-02	7.526588e-02	1.316658e-03	8.548252e-04
150.0	[1.62,3.93]	[2.27,3.17]	7.866466e-02	7.980136e-02	1.157730e-03	8.780429e-04
160.0	[1.50,3.65]	[2.08,3.01]	8.492878e-02	8.592216e-02	1.084279e-03	9.080588e-04
170.0	[1.41,3.42]	[1.94,2.89]	9.476264e-02	9.132904e-02	1.453965e-03	9.334210e-04
180.0	[1.35,3.24]	[1.82,2.79]	9.486875e-02	9.459417e-02	1.854207e-03	9.482517e-04
190.0	[1.32,3.21]	[1.79,2.72]	9.733166e-02	1.010929e-01	1.128006e-03	9.767593e-04

============================================================
ALPHA per componente:
  C0: ['12.068', '11.459', '10.622', '9.978', '9.110', '8.160', '7.502', '6.711', '6.018', '5.344', '4.578', '3.928', '3.380', '3.207', '2.751', '2.538', '2.450', '2.347', '2.330']
  C1: ['12.510', '11.291', '10.659', '10.020', '8.990', '8.277', '7.452', '6.742', '5.977', '5.270', '4.978', '4.016', '3.386', '3.012', '2.780', '2.582', '2.313', '2.340', '2.307']
  C2: ['11.685', '11.251', '10.689', '9.870', '9.179', '8.283', '7.515', '6.785', '5.998', '5.275', '4.718', '3.994', '3.383', '3.104', '2.763', '2.561', '2.444', '2.278', '2.225']
  C3: ['12.209', '11.291', '10.775', '10.128', '9.183', '8.221', '7.537', '6.718', '5.967', '5.351', '4.715', '3.900', '3.502', '3.006', '2.762', '2.558', '2.374', '2.286', '2.271']
  C4: ['11.832', '11.537', '10.668', '9.957', '9.107', '8.233', '7.364', '6.694', '5.902', '5.336', '4.848', '4.044', '3.527', '3.083', '2.793', '2.587', '2.343', '2.319', '2.279']
  C5: ['12.103', '11.250', '10.760', '9.977', '8.971', '8.216', '7.603', '6.821', '5.954', '5.284', '4.463', '4.086', '3.477', '3.158', '2.853', '2.584', '2.460', '2.297', '2.251']
  C6: ['11.737', '11.306', '10.692', '9.908', '9.192', '8.172', '7.473', '6.805', '5.961', '5.290', '4.437', '3.928', '3.547', '3.020', '2.731', '2.535', '2.362', '2.289', '2.198']
  C7: ['11.825', '11.485', '10.678', '9.842', '9.103', '8.303', '7.265', '6.681', '5.946', '5.292', '4.651', '4.000', '3.494', '3.153', '2.843', '2.566', '2.417', '2.284', '2.236']
  C8: ['12.148', '11.572', '10.764', '10.057', '9.027', '8.147', '7.150', '6.871', '5.992', '5.324', '4.369', '4.032', '3.450', '3.175', '2.740', '2.568', '2.421', '2.305', '2.284']
  C9: ['12.069', '11.220', '10.719', '10.052', '9.073', '8.337', '7.497', '6.643', '5.991', '5.274', '4.831', '3.958', '3.448', '3.082', '2.694', '2.566', '2.421', '2.298', '2.200']
  C10: ['12.029', '11.479', '10.647', '10.073', '8.992', '8.185', '7.701', '6.780', '5.960', '5.263', '4.449', '3.936', '3.570', '3.119', '2.783', '2.552', '2.450', '2.290', '2.322']
  C11: ['11.849', '11.451', '10.702', '9.892', '9.147', '8.155', '7.406', '6.728', '6.038', '5.244', '4.903', '3.974', '3.506', '3.129', '2.842', '2.563', '2.426', '2.353', '2.299']
  C12: ['12.029', '11.092', '10.721', '9.823', '9.069', '8.301', '7.403', '6.845', '6.005', '5.354', '4.471', '3.951', '3.488', '3.072', '2.767', '2.577', '2.374', '2.336', '2.223']
