Topologia: random_30comp_4AND_12OR
T_max: 500, Step: 10
============================================================

t	Range_α	Range_β	P_is	P_mc	std_is	std_mc
10.0	[5.95,11.50]	[6.78,7.29]	7.405494e-03	7.322102e-03	2.947583e-04	2.703798e-04
20.0	[5.40,10.60]	[6.35,6.87]	1.453722e-02	1.479507e-02	4.881562e-04	3.828900e-04
30.0	[4.80,9.59]	[5.87,6.40]	2.033259e-02	2.278099e-02	5.954055e-04	4.731888e-04
40.0	[4.21,8.61]	[5.40,5.95]	3.455494e-02	2.973095e-02	1.533600e-03	5.386451e-04
50.0	[3.63,7.64]	[4.94,5.50]	3.158903e-02	3.716369e-02	7.139046e-04	5.999124e-04
60.0	[3.08,6.71]	[4.49,5.07]	3.961265e-02	4.418406e-02	1.039847e-03	6.517366e-04
70.0	[2.59,5.84]	[4.04,4.66]	5.244932e-02	5.129495e-02	3.019215e-03	6.996085e-04
80.0	[2.19,5.15]	[3.59,4.24]	5.925983e-02	5.763138e-02	1.784995e-03	7.390811e-04
90.0	[1.91,4.62]	[3.18,3.86]	6.405507e-02	6.547649e-02	1.205057e-03	7.844947e-04
100.0	[1.69,4.17]	[2.80,3.52]	7.935603e-02	7.333166e-02	2.214903e-03	8.267232e-04
110.0	[1.51,3.77]	[2.46,3.22]	7.914737e-02	8.182047e-02	1.185334e-03	8.692546e-04
120.0	[1.39,3.46]	[2.19,2.99]	8.539160e-02	8.717123e-02	1.106321e-03	8.946094e-04
130.0	[1.33,3.28]	[2.04,2.87]	1.007015e-01	9.284385e-02	3.087552e-03	9.203856e-04
140.0	[1.27,3.11]	[1.91,2.75]	1.010321e-01	1.010209e-01	1.333211e-03	9.557241e-04

============================================================
ALPHA per componente:
  C0: ['8.704', '7.938', '7.228', '6.453', '5.645', '4.917', '4.280', '3.616', '3.229', '2.982', '2.623', '2.441', '2.278', '2.193']
  C1: ['8.678', '7.924', '7.190', '6.488', '5.646', '4.897', '4.126', '3.660', '3.275', '2.883', '2.643', '2.393', '2.310', '2.177']
  C2: ['8.681', '7.957', '7.140', '6.402', '5.670', '4.969', '4.197', '3.751', '3.254', '2.961', '2.646', '2.384', '2.280', '2.215']
  C3: ['8.778', '7.936', '7.230', '6.380', '5.634', '4.848', '4.183', '3.753', '3.272', '2.957', '2.641', '2.401', '2.295', '2.180']
  C4: ['8.771', '8.075', '7.245', '6.531', '5.679', '4.916', '4.225', '3.643', '3.282', '2.933', '2.619', '2.488', '2.305', '2.231']
  C5: ['8.708', '7.941', '7.139', '6.418', '5.719', '4.952', '4.166', '3.564', '3.253', '2.954', '2.648', '2.477', '2.306', '2.150']
  C6: ['8.707', '7.832', '7.203', '6.402', '5.708', '4.861', '4.107', '3.640', '3.290', '2.942', '2.640', '2.469', '2.316', '2.182']
  C7: ['8.628', '8.033', '7.317', '6.409', '5.557', '4.875', '4.293', '3.721', '3.289', '2.952', '2.630', '2.463', '2.345', '2.198']
  C8: ['8.777', '7.950', '7.244', '6.374', '5.717', '4.898', '4.204', '3.671', '3.261', '2.947', '2.657', '2.523', '2.310', '2.134']
  C9: ['8.772', '7.821', '7.235', '6.368', '5.662', '4.913', '4.185', '3.724', '3.245', '2.904', '2.633', '2.429', '2.366', '2.186']
  C10: ['8.717', '7.989', '7.322', '6.464', '5.648', '4.878', '4.132', '3.640', '3.273', '3.030', '2.652', '2.313', '2.291', '2.147']
  C11: ['8.714', '7.833', '7.262', '6.410', '5.599', '4.883', '4.279', '3.664', '3.254', '2.892', '2.632', '2.459', '2.302', '2.194']
  C12: ['8.705', '8.171', '7.085', '6.377', '5.608', '4.879', '4.197', '3.602', '3.251', '3.000', '2.699', '2.462', '2.290', '2.186']
  C13: ['8.823', '8.163', '7.210', '6.427', '5.676', '4.860', '4.321', '3.633', '3.272', '2.959', '2.601', '2.505', '2.357', '2.181']
  C14: ['8.698', '8.038', '7.124', '6.316', '5.646', '4.901', '4.171', '3.620', '3.280', '2.864', '2.654', '2.369', '2.301', '2.197']
  C15: ['8.774', '8.083', '7.197', '6.512', '5.624', '4.873', '4.253', '3.694', '3.278', '2.983', '2.708', '2.438', '2.346', '2.174']
  C16: ['8.851', '7.950', '7.161', '6.443', '5.510', '4.930', '4.278', '3.591', '3.277', '2.938', '2.656', '2.467', '2.345', '2.181']
  C17: ['8.647', '8.142', '7.191', '6.346', '5.578', '4.889', '4.165', '3.730', '3.285', '2.852', '2.642', '2.420', '2.318', '2.174']
  C18: ['8.853', '8.008', '7.212', '6.336', '5.630', '4.884', '4.203', '3.737', '3.263', '2.974', '2.618', '2.389', '2.278', '2.180']
  C19: ['8.678', '8.043', '7.234', '6.425', '5.587', '4.899', '4.100', '3.646', '3.263', '2.971', '2.637', '2.436', '2.252', '2.197']
  C20: ['8.771', '7.997', '7.206', '6.336', '5.626', '4.942', '4.259', '3.707', '3.273', '2.887', '2.634', '2.376', '2.312', '2.161']
  C21: ['8.647', '8.198', '7.131', '6.469', '5.621', '4.842', '4.147', '3.705', '3.288', '2.957', '2.676', '2.386', '2.237', '2.209']
  C22: ['8.696', '7.991', '7.120', '6.366', '5.642', '4.902', '4.211', '3.605', '3.313', '2.861', '2.658', '2.369', '2.335', '2.185']
  C23: ['8.606', '7.886', '7.150', '6.296', '5.546', '4.895', '4.224', '3.745', '3.296', '2.953', '2.579', '2.479', '2.298', '2.147']
  C24: ['8.683', '8.192', '7.189', '6.434', '5.579', '4.901', '4.186', '3.707', '3.292', '2.961', '2.674', '2.275', '2.291', '2.168']
  C25: ['8.726', '8.007', '7.217', '6.430', '5.601', '4.918', '4.141', '3.731', '3.222', '2.969', '2.627', '2.504', '2.307', '2.171']
  C26: ['8.778', '7.899', '7.270', '6.432', '5.652', '4.920', '4.232', '3.649', '3.283', '2.938', '2.623', '2.387', '2.337', '2.200']
  C27: ['8.647', '8.108', '7.180', '6.400', '5.664', '4.854', '4.308', '3.666', '3.262', '2.880', '2.655', '2.405', '2.373', '2.227']
  C28: ['8.741', '7.952', '7.125', '6.368', '5.639', '4.875', '4.084', '3.688', '3.233', '2.874', '2.622', '2.541', '2.384', '2.200']
  C29: ['8.720', '8.149', '7.112', '6.463', '5.705', '4.885', '4.272', '3.667', '3.237', '2.932', '2.638', '2.328', '2.282', '2.171']

BETA per componente:
  C0: ['7.041', '6.617', '6.145', '5.662', '5.215', '4.786', '4.341', '3.922', '3.500', '3.182', '2.824', '2.582', '2.444', '2.341']
  C1: ['7.034', '6.609', '6.146', '5.680', '5.231', '4.784', '4.342', '3.921', '3.516', '3.161', '2.840', '2.542', '2.472', '2.336']
  C2: ['7.041', '6.618', '6.128', '5.685', '5.209', '4.764', '4.350', '3.910', '3.531', '3.155', '2.842', '2.571', '2.450', '2.347']
  C3: ['7.031', '6.605', '6.146', '5.679', '5.237', '4.790', '4.357', '3.934', '3.521', '3.185', '2.858', '2.566', '2.484', '2.357']
  C4: ['7.037', '6.612', '6.133', '5.665', '5.223', '4.774', '4.347', '3.924', '3.521', '3.167', '2.838', '2.584', '2.449', '2.346']
  C5: ['7.044', '6.606', '6.132', '5.678', '5.235', '4.779', '4.346', '3.919', '3.525', '3.162', '2.848', '2.601', '2.480', '2.326']
  C6: ['7.032', '6.603', '6.146', '5.677', '5.228', '4.779', '4.356', '3.924', '3.513', '3.154', '2.838', '2.593', '2.465', '2.335']
  C7: ['7.036', '6.611', '6.146', '5.677', '5.226', '4.782', '4.363', '3.913', '3.529', '3.186', '2.847', '2.587', '2.453', '2.338']
  C8: ['7.031', '6.608', '6.139', '5.677', '5.215', '4.777', '4.353', '3.923', '3.517', '3.169', '2.836', '2.612', '2.461', '2.315']
  C9: ['7.019', '6.601', '6.139', '5.666', '5.216', '4.782', '4.332', '3.923', '3.525', '3.151', '2.829', '2.548', '2.466', '2.348']
  C10: ['7.033', '6.605', '6.140', '5.687', '5.236', '4.772', '4.334', '3.911', '3.528', '3.166', '2.834', '2.564', '2.447', '2.329']
  C11: ['7.036', '6.604', '6.136', '5.664', '5.223', '4.779', '4.351', '3.910', '3.522', '3.130', '2.841', '2.583', '2.466', '2.311']
