Topologia: random_25comp_2AND_11OR
T_max: 500, Step: 10
============================================================

t	Range_α	Range_β	P_is	P_mc	std_is	std_mc
10.0	[7.44,13.88]	[7.52,8.03]	1.219391e-02	1.097926e-02	3.903538e-04	3.327117e-04
20.0	[6.86,12.89]	[7.12,7.64]	2.049790e-02	2.179542e-02	5.810105e-04	4.662043e-04
30.0	[6.28,11.94]	[6.74,7.26]	2.963042e-02	3.245866e-02	7.629795e-04	5.658207e-04
40.0	[5.71,10.98]	[6.35,6.88]	4.040202e-02	4.288743e-02	9.093201e-04	6.468824e-04
50.0	[5.11,10.00]	[5.89,6.44]	5.337829e-02	5.325504e-02	1.710735e-03	7.169282e-04
60.0	[4.52,9.01]	[5.43,6.00]	6.298010e-02	6.343915e-02	1.713759e-03	7.782613e-04
70.0	[3.95,8.06]	[4.98,5.57]	6.780636e-02	7.319510e-02	1.421590e-03	8.315990e-04
80.0	[3.41,7.16]	[4.53,5.15]	7.543886e-02	8.426611e-02	1.558244e-03	8.869311e-04
90.0	[2.91,6.33]	[4.08,4.73]	9.093339e-02	9.448080e-02	2.076253e-03	9.338979e-04
100.0	[2.46,5.56]	[3.65,4.34]	1.001483e-01	1.045426e-01	1.584371e-03	9.768949e-04

============================================================
ALPHA per componente:
  C0: ['10.482', '9.828', '9.083', '8.333', '7.516', '6.839', '5.743', '5.391', '4.584', '3.998']
  C1: ['10.721', '10.034', '9.200', '8.337', '7.568', '6.762', '6.266', '5.382', '4.505', '4.039']
  C2: ['10.847', '9.880', '9.262', '8.338', '7.556', '6.743', '6.076', '5.301', '4.619', '3.890']
  C3: ['10.683', '9.900', '9.009', '8.361', '7.403', '6.778', '6.262', '5.354', '4.606', '4.070']
  C4: ['10.399', '9.793', '9.072', '8.295', '7.568', '6.678', '6.140', '5.209', '4.663', '4.083']
  C5: ['10.653', '9.784', '9.095', '8.446', '7.693', '6.724', '6.001', '5.262', '4.650', '3.984']
  C6: ['10.856', '9.916', '8.947', '8.294', '7.607', '6.794', '6.197', '5.273', '4.634', '4.070']
  C7: ['10.623', '9.824', '9.018', '8.377', '7.405', '6.754', '5.970', '5.254', '4.660', '4.047']
  C8: ['10.700', '9.836', '9.288', '8.405', '7.593', '6.708', '6.136', '5.204', '4.660', '3.894']
  C9: ['10.842', '9.978', '9.223', '8.221', '7.489', '6.827', '5.994', '5.304', '4.573', '4.109']
  C10: ['10.640', '9.832', '9.196', '8.300', '7.563', '6.825', '6.205', '5.197', '4.606', '3.992']
  C11: ['10.565', '9.769', '8.746', '8.356', '7.412', '6.793', '5.836', '5.436', '4.662', '4.031']
  C12: ['10.509', '9.934', '9.232', '8.460', '7.317', '6.802', '5.838', '5.236', '4.676', '4.037']
  C13: ['10.622', '10.013', '9.417', '8.485', '7.427', '6.716', '6.081', '5.206', '4.593', '4.003']
  C14: ['10.546', '9.778', '9.041', '8.310', '7.709', '6.770', '5.997', '5.294', '4.642', '4.108']
  C15: ['10.673', '9.998', '9.609', '8.221', '7.458', '6.755', '5.977', '5.220', '4.622', '3.960']
