Topologia: random_29comp_2AND_11OR
T_max: 500, Step: 10
============================================================

t	Range_α	Range_β	P_is	P_mc	std_is	std_mc
10.0	[6.64,12.60]	[7.13,7.64]	1.340916e-02	1.433024e-02	3.927729e-04	3.780834e-04
20.0	[6.06,11.63]	[6.73,7.25]	3.195598e-02	2.708173e-02	1.590288e-03	5.163825e-04
30.0	[5.52,10.74]	[6.32,6.85]	3.426820e-02	4.088572e-02	7.305518e-04	6.299646e-04
40.0	[4.97,9.82]	[5.89,6.42]	4.993775e-02	5.249362e-02	9.484040e-04	7.094789e-04
50.0	[4.41,8.89]	[5.44,6.00]	6.415592e-02	6.745132e-02	1.847066e-03	7.978590e-04
60.0	[3.83,7.92]	[4.99,5.56]	8.969974e-02	7.915031e-02	4.936891e-03	8.588470e-04
70.0	[3.28,7.00]	[4.53,5.13]	1.067359e-01	9.252925e-02	7.168940e-03	9.218303e-04
80.0	[2.78,6.16]	[4.08,4.70]	1.174858e-01	1.043800e-01	6.155025e-03	9.726705e-04

============================================================
ALPHA per componente:
  C0: ['9.443', '8.720', '8.062', '7.496', '6.607', '5.897', '5.210', '4.525']
  C1: ['9.335', '8.843', '8.134', '7.453', '6.844', '5.839', '5.296', '4.378']
  C2: ['9.625', '8.932', '8.194', '7.392', '6.709', '5.856', '5.115', '4.428']
  C3: ['9.432', '8.880', '8.096', '7.424', '6.748', '5.930', '5.061', '4.465']
  C4: ['9.969', '8.640', '8.149', '7.347', '6.681', '5.853', '5.220', '4.617']
  C5: ['9.803', '8.920', '8.013', '7.431', '6.685', '6.024', '5.246', '4.569']
  C6: ['9.350', '8.710', '8.350', '7.331', '6.575', '5.989', '5.220', '4.525']
  C7: ['9.795', '8.891', '8.067', '7.417', '6.642', '5.865', '5.300', '4.456']
  C8: ['9.603', '8.791', '8.052', '7.401', '6.672', '5.917', '5.188', '4.575']
  C9: ['9.889', '8.781', '8.050', '7.428', '6.626', '5.805', '5.212', '4.458']
  C10: ['9.354', '9.043', '8.147', '7.296', '6.652', '5.746', '5.106', '4.380']
  C11: ['9.840', '8.749', '8.056', '7.334', '6.662', '5.805', '5.299', '4.512']
  C12: ['9.845', '8.926', '8.183', '7.322', '6.697', '5.855', '5.165', '4.471']
  C13: ['9.391', '8.775', '8.155', '7.372', '6.587', '5.840', '5.162', '4.501']
  C14: ['9.600', '8.780', '8.158', '7.360', '6.623', '5.951', '4.995', '4.415']
  C15: ['9.350', '8.669', '8.212', '7.388', '6.612', '5.821', '5.029', '4.594']
  C16: ['9.752', '8.964', '8.228', '7.412', '6.766', '5.898', '5.149', '4.500']
  C17: ['9.428', '8.754', '8.179', '7.516', '6.673', '5.960', '5.290', '4.580']
  C18: ['9.487', '8.736', '8.261', '7.401', '6.622', '5.929', '5.288', '4.415']
  C19: ['9.474', '8.897', '8.162', '7.540', '6.653', '5.920', '5.232', '4.628']
  C20: ['9.820', '8.861', '8.054', '7.450', '6.688', '5.884', '4.995', '4.402']
  C21: ['9.581', '8.930', '8.217', '7.373', '6.653', '5.850', '4.909', '4.540']
  C22: ['9.574', '8.827', '8.190', '7.419', '6.571', '5.932', '5.142', '4.533']
  C23: ['9.562', '8.684', '8.176', '7.414', '6.746', '5.859', '5.266', '4.582']
  C24: ['9.824', '8.887', '8.062', '7.407', '6.647', '5.955', '5.167', '4.436']
  C25: ['9.478', '8.894', '8.063', '7.380', '6.638', '5.916', '5.204', '4.545']
  C26: ['9.407', '8.845', '8.179', '7.523', '6.717', '5.782', '5.003', '4.458']
  C27: ['9.606', '8.885', '7.974', '7.516', '6.732', '5.918', '4.973', '4.390']
  C28: ['9.453', '8.689', '8.134', '7.402', '6.788', '5.961', '5.130', '4.455']

BETA per componente:
  C0: ['7.396', '7.002', '6.573', '6.162', '5.734', '5.282', '4.825', '4.392']
  C1: ['7.373', '7.002', '6.578', '6.153', '5.726', '5.267', '4.820', '4.394']
  C2: ['7.413', '6.983', '6.581', '6.147', '5.721', '5.262', '4.846', '4.384']
  C3: ['7.415', '6.991', '6.579', '6.149', '5.718', '5.265', '4.849', '4.354']
  C4: ['7.387', '6.995', '6.595', '6.164', '5.738', '5.279', '4.840', '4.397']
  C5: ['7.395', '7.009', '6.569', '6.154', '5.720', '5.292', '4.820', '4.364']
  C6: ['7.386', '6.991', '6.595', '6.158', '5.719', '5.280', '4.829', '4.380']
  C7: ['7.374', '6.995', '6.580', '6.157', '5.722', '5.263', '4.826', '4.391']
  C8: ['7.404', '6.985', '6.576', '6.161', '5.708', '5.270', '4.816', '4.396']
  C9: ['7.378', '6.991', '6.568', '6.141', '5.733', '5.275', '4.857', '4.401']
  C10: ['7.394', '6.996', '6.593', '6.148', '5.727', '5.262', '4.817', '4.393']
  C11: ['7.384', '6.994', '6.580', '6.153', '5.713', '5.269', '4.811', '4.387']
  C12: ['7.380', '6.989', '6.574', '6.151', '5.726', '5.284', '4.854', '4.402']
  C13: ['7.401', '6.991', '6.574', '6.150', '5.721', '5.269', '4.834', '4.387']
  C14: ['7.389', '6.982', '6.589', '6.140', '5.713', '5.262', '4.824', '4.396']
  C15: ['7.401', '7.002', '6.572', '6.162', '5.719', '5.268', '4.808', '4.406']
  C16: ['7.385', '6.982', '6.571', '6.147', '5.713', '5.278', '4.842', '4.373']
  C17: ['7.407', '6.993', '6.580', '6.150', '5.728', '5.285', '4.821', '4.375']
  C18: ['7.399', '6.987', '6.569', '6.162', '5.727', '5.262', '4.837', '4.364']
  C19: ['7.378', '6.999', '6.578', '6.151', '5.719', '5.266', '4.818', '4.404']
  C20: ['7.396', '6.994', '6.588', '6.151', '5.727', '5.264', '4.830', '4.395']
  C21: ['7.392', '6.995', '6.587', '6.143', '5.731', '5.268', '4.832', '4.391']
  C22: ['7.393', '7.004', '6.583', '6.151', '5.716', '5.275', '4.859', '4.408']
  C23: ['7.387', '6.994', '6.574', '6.155', '5.714', '5.256', '4.834', '4.398']
  C24: ['7.380', '6.996', '6.591', '6.149', '5.732', '5.272', '4.827', '4.374']
  C25: ['7.387', '7.014', '6.594', '6.152', '5.730', '5.282', '4.824', '4.394']
  C26: ['7.388', '6.982', '6.586', '6.161', '5.719', '5.270', '4.803', '4.382']
  C27: ['7.375', '7.000', '6.575', '6.147', '5.724', '5.288', '4.839', '4.408']
  C28: ['7.372', '6.986', '6.584', '6.153', '5.720', '5.271', '4.822', '4.363']
