Topologia: random_39comp_39AND_12OR
T_max: 500, Step: 10
Criticità per componente: True
============================================================

t	Range_α	Range_β	P_is	P_mc	std_is	std_mc
10.0	[22.11,23.13]	[7.37,7.87]	4.486198e-06	5.000000e-06	8.708710e-06	4.999987e-06
20.0	[21.22,22.26]	[7.12,7.62]	4.076136e-06	1.000000e-05	1.264670e-05	7.071032e-06
30.0	[20.31,21.37]	[6.84,7.34]	2.679297e-05	4.000000e-05	3.626347e-05	1.414185e-05
40.0	[19.41,20.49]	[6.56,7.06]	5.426132e-05	5.000000e-05	6.380180e-04	1.581099e-05
50.0	[18.52,19.63]	[6.29,6.79]	1.262185e-05	4.500000e-05	3.595529e-05	1.499966e-05
60.0	[17.62,18.75]	[6.01,6.51]	2.833615e-05	9.500000e-05	6.406144e-05	2.179346e-05
70.0	[16.73,17.87]	[5.73,6.23]	8.612714e-05	9.500000e-05	2.192440e-04	2.179346e-05
80.0	[15.84,17.00]	[5.45,5.95]	3.560146e-05	1.400000e-04	8.763841e-05	2.645566e-05
90.0	[14.93,16.12]	[5.17,5.67]	4.631433e-05	1.250000e-04	1.617922e-04	2.499844e-05
100.0	[14.02,15.23]	[4.88,5.38]	5.125846e-05	1.550000e-04	1.139601e-04	2.783666e-05
110.0	[13.12,14.36]	[4.60,5.10]	2.502609e-05	1.850000e-04	1.059977e-04	3.041100e-05
120.0	[12.23,13.50]	[4.32,4.83]	2.184491e-05	1.950000e-04	2.074466e-04	3.122195e-05
130.0	[11.32,12.61]	[4.04,4.54]	2.124985e-04	2.200000e-04	5.847730e-04	3.316260e-05
140.0	[10.42,11.74]	[3.76,4.26]	4.029356e-04	1.900000e-04	4.595158e-04	3.081914e-05
150.0	[9.54,10.88]	[3.49,3.99]	8.381843e-05	2.300000e-04	6.499142e-04	3.390775e-05
160.0	[8.65,10.01]	[3.22,3.72]	1.134643e-04	2.450000e-04	3.026828e-04	3.499571e-05
170.0	[7.76,9.15]	[2.95,3.45]	2.121441e-04	2.900000e-04	3.929092e-04	3.807334e-05
180.0	[6.91,8.31]	[2.70,3.21]	2.386834e-04	3.500000e-04	2.050295e-04	4.182568e-05
190.0	[6.07,7.48]	[2.47,2.98]	1.699325e-04	3.350000e-04	1.493974e-04	4.091991e-05
200.0	[5.24,6.66]	[2.25,2.76]	2.242731e-04	3.100000e-04	2.089196e-04	3.936394e-05
210.0	[4.43,5.86]	[2.06,2.56]	1.376546e-04	3.600000e-04	1.025301e-04	4.241877e-05
220.0	[3.70,5.16]	[1.90,2.41]	2.979048e-04	3.300000e-04	1.351444e-04	4.061349e-05
230.0	[3.15,4.69]	[1.80,2.31]	6.293364e-04	3.600000e-04	1.923561e-04	4.241877e-05
240.0	[2.66,4.25]	[1.73,2.24]	3.561418e-04	4.250000e-04	1.287739e-04	4.608793e-05
250.0	[2.26,3.87]	[1.65,2.17]	5.958210e-04	3.850000e-04	1.777507e-04	4.386638e-05
260.0	[1.92,3.54]	[1.59,2.11]	5.165903e-04	4.450000e-04	1.389563e-04	4.715941e-05
270.0	[1.66,3.29]	[1.53,2.05]	3.662406e-04	4.550000e-04	1.264630e-04	4.768611e-05
280.0	[1.50,3.13]	[1.49,2.02]	5.852114e-04	4.450000e-04	1.252359e-04	4.715941e-05
290.0	[1.41,3.03]	[1.47,1.99]	4.054729e-04	5.000000e-04	9.920394e-05	4.998750e-05
300.0	[1.35,2.94]	[1.43,1.95]	4.898248e-04	5.100000e-04	1.103508e-04	5.048465e-05
310.0	[1.30,2.85]	[1.39,1.91]	5.691771e-04	4.350000e-04	2.293957e-04	4.662675e-05
320.0	[1.28,2.79]	[1.34,1.85]	3.850557e-04	4.800000e-04	9.118187e-05	4.897804e-05
330.0	[1.27,2.73]	[1.29,1.80]	6.716199e-04	6.650000e-04	1.214903e-04	5.764364e-05
340.0	[1.26,2.69]	[1.24,1.75]	6.150745e-04	5.500000e-04	1.139237e-04	5.242602e-05
350.0	[1.26,2.64]	[1.21,1.71]	5.451462e-04	4.950000e-04	1.205857e-04	4.973706e-05
360.0	[1.25,2.59]	[1.17,1.68]	4.857973e-04	5.450000e-04	1.003373e-04	5.218731e-05
370.0	[1.24,2.55]	[1.15,1.65]	5.040574e-04	7.050000e-04	9.902717e-05	5.935078e-05
380.0	[1.24,2.51]	[1.13,1.63]	7.618953e-04	5.750000e-04	1.227639e-04	5.360361e-05
390.0	[1.23,2.46]	[1.11,1.61]	5.803216e-04	7.350000e-04	1.062085e-04	6.059950e-05
400.0	[1.22,2.43]	[1.09,1.59]	5.911229e-04	7.200000e-04	1.067930e-04	5.997840e-05
410.0	[1.22,2.39]	[1.08,1.58]	6.831609e-04	6.600000e-04	1.143134e-04	5.742667e-05
420.0	[1.21,2.36]	[1.07,1.57]	5.603747e-04	6.700000e-04	1.033695e-04	5.785979e-05
430.0	[1.20,2.32]	[1.06,1.56]	5.553583e-04	6.350000e-04	1.053028e-04	5.632925e-05
440.0	[1.19,2.29]	[1.05,1.55]	7.482810e-04	7.200000e-04	1.186518e-04	5.997840e-05
450.0	[1.18,2.26]	[1.04,1.54]	8.854214e-04	8.050000e-04	1.286648e-04	6.341735e-05
460.0	[1.18,2.23]	[1.04,1.54]	8.240423e-04	7.650000e-04	1.235808e-04	6.182292e-05
470.0	[1.17,2.20]	[1.03,1.53]	7.864241e-04	8.950000e-04	1.220809e-04	6.686550e-05
480.0	[1.16,2.17]	[1.03,1.53]	7.379152e-04	7.900000e-04	1.172753e-04	6.282420e-05
490.0	[1.15,2.14]	[1.02,1.52]	6.719489e-04	8.500000e-04	1.119801e-04	6.516431e-05
500.0	[1.15,2.12]	[1.02,1.52]	7.474992e-04	9.000000e-04	1.192314e-04	6.705185e-05

============================================================
ALPHA per componente:
  C0: ['23.588', '22.705', '21.736', '20.815', '19.897', '18.979', '18.027', '17.144', '16.214', '15.241', '14.330', '13.468', '12.491', '11.508', '10.612', '9.746', '8.805', '7.959', '7.090', '6.195', '5.388', '4.621', '4.069', '3.612', '3.175', '2.827', '2.580', '2.408', '2.330', '2.214', '2.138', '2.121', '2.084', '2.057', '2.020', '2.052', '2.006', '1.933', '1.912', '1.897', '1.857', '1.892', '1.849', '1.819', '1.812', '1.782', '1.753', '1.719', '1.725', '1.706']
  C1: ['33.944', '32.615', '31.266', '29.884', '28.692', '27.290', '25.984', '24.651', '23.273', '21.982', '20.591', '19.253', '17.889', '16.598', '15.263', '13.948', '12.689', '11.403', '10.233', '8.942', '7.710', '6.664', '5.853', '5.157', '4.571', '4.107', '3.711', '3.502', '3.320', '3.231', '3.144', '3.033', '2.939', '2.989', '2.947', '2.859', '2.864', '2.793', '2.801', '2.700', '2.700', '2.713', '2.630', '2.595', '2.611', '2.555', '2.529', '2.530', '2.484', '2.473']
  C2: ['15.834', '15.236', '14.601', '13.972', '13.355', '12.741', '12.104', '11.489', '10.861', '10.255', '9.610', '8.994', '8.370', '7.753', '7.160', '6.552', '5.922', '5.316', '4.773', '4.142', '3.613', '3.099', '2.754', '2.416', '2.152', '1.923', '1.739', '1.613', '1.558', '1.535', '1.511', '1.483', '1.471', '1.428', '1.426', '1.413', '1.391', '1.393', '1.356', '1.342', '1.334', '1.329', '1.322', '1.299', '1.267', '1.269', '1.267', '1.267', '1.248', '1.243']
  C3: ['33.931', '32.627', '31.266', '29.954', '28.561', '27.265', '25.973', '24.671', '23.278', '21.998', '20.637', '19.343', '17.991', '16.619', '15.350', '13.939', '12.663', '11.412', '10.177', '8.920', '7.702', '6.653', '5.860', '5.200', '4.636', '4.111', '3.580', '3.530', '3.367', '3.204', '3.137', '3.129', '2.949', '2.973', '2.928', '2.954', '2.850', '2.831', '2.724', '2.740', '2.726', '2.675', '2.634', '2.634', '2.572', '2.563', '2.504', '2.478', '2.452', '2.475']
  C4: ['33.949', '32.617', '31.290', '29.960', '28.622', '27.280', '25.940', '24.685', '23.310', '21.875', '20.602', '19.331', '17.963', '16.652', '15.336', '13.997', '12.691', '11.412', '10.149', '8.934', '7.748', '6.612', '5.898', '5.197', '4.635', '4.104', '3.672', '3.457', '3.326', '3.220', '3.073', '3.094', '3.041', '2.961', '2.920', '2.843', '2.864', '2.825', '2.775', '2.753', '2.725', '2.681', '2.632', '2.598', '2.568', '2.537', '2.522', '2.482', '2.475', '2.438']
  C5: ['15.837', '15.209', '14.588', '13.978', '13.397', '12.724', '12.114', '11.493', '10.869', '10.265', '9.608', '9.000', '8.395', '7.746', '7.122', '6.514', '5.920', '5.306', '4.722', '4.181', '3.613', '3.109', '2.738', '2.407', '2.113', '1.883', '1.739', '1.618', '1.572', '1.519', '1.495', '1.501', '1.436', '1.443', '1.427', '1.392', '1.385', '1.358', '1.358', '1.348', '1.329', '1.329', '1.310', '1.313', '1.291', '1.289', '1.274', '1.260', '1.253', '1.254']
  C6: ['33.921', '32.642', '31.251', '29.917', '28.602', '27.259', '25.958', '24.651', '23.349', '21.923', '20.610', '19.274', '17.943', '16.588', '15.293', '13.920', '12.667', '11.401', '10.180', '8.933', '7.685', '6.665', '5.823', '5.186', '4.597', '4.087', '3.696', '3.514', '3.353', '3.203', '3.107', '3.088', '3.033', '2.944', '2.915', '2.881', '2.862', '2.822', '2.784', '2.715', '2.714', '2.673', '2.626', '2.604', '2.574', '2.561', '2.529', '2.514', '2.520', '2.437']
  C7: ['15.844', '15.229', '14.584', '13.932', '13.347', '12.723', '12.113', '11.505', '10.880', '10.253', '9.624', '8.982', '8.388', '7.774', '7.140', '6.547', '5.922', '5.317', '4.723', '4.168', '3.609', '3.111', '2.733', '2.411', '2.134', '1.895', '1.719', '1.613', '1.565', '1.530', '1.515', '1.480', '1.443', '1.444', '1.422', '1.405', '1.396', '1.387', '1.352', '1.353', '1.343', '1.342', '1.313', '1.297', '1.290', '1.278', '1.275', '1.259', '1.260', '1.248']
  C8: ['33.955', '32.635', '31.271', '29.900', '28.594', '27.286', '25.908', '24.639', '23.293', '21.971', '20.606', '19.194', '17.976', '16.676', '15.347', '14.027', '12.698', '11.436', '10.193', '8.943', '7.714', '6.686', '5.819', '5.164', '4.578', '4.089', '3.656', '3.473', '3.357', '3.207', '3.105', '3.041', '2.985', '2.971', '2.908', '2.823', '2.886', '2.812', '2.758', '2.722', '2.673', '2.603', '2.637', '2.610', '2.597', '2.537', '2.515', '2.490', '2.452', '2.458']
  C9: ['23.599', '22.709', '21.715', '20.796', '19.902', '18.966', '18.027', '17.105', '16.171', '15.240', '14.336', '13.393', '12.493', '11.555', '10.648', '9.712', '8.828', '7.955', '7.082', '6.201', '5.380', '4.626', '4.083', '3.587', '3.206', '2.812', '2.581', '2.449', '2.296', '2.226', '2.163', '2.126', '2.112', '2.052', '2.039', '1.986', '1.896', '1.964', '1.967', '1.884', '1.884', '1.886', '1.827', '1.827', '1.810', '1.776', '1.745', '1.746', '1.722', '1.688']
  C10: ['33.926', '32.617', '31.240', '29.895', '28.663', '27.292', '25.943', '24.622', '23.238', '21.922', '20.601', '19.340', '17.925', '16.656', '15.284', '14.011', '12.714', '11.489', '10.158', '8.905', '7.691', '6.679', '5.862', '5.204', '4.618', '4.182', '3.649', '3.458', '3.288', '3.228', '3.122', '3.054', '3.006', '2.956', '2.941', '3.018', '2.845', '2.799', '2.773', '2.769', '2.742', '2.627', '2.675', '2.617', '2.582', '2.551', '2.527', '2.512', '2.463', '2.445']
  C11: ['23.595', '22.678', '21.733', '20.808', '19.936', '18.967', '18.061', '17.134', '16.245', '15.249', '14.318', '13.404', '12.486', '11.581', '10.641', '9.700', '8.830', '7.920', '7.063', '6.200', '5.374', '4.660', '4.077', '3.613', '3.211', '2.868', '2.593', '2.448', '2.340', '2.228', '2.174', '2.150', '2.102', '2.065', '2.011', '2.017', '2.002', '1.959', '1.909', '1.929', '1.892', '1.829', '1.854', '1.822', '1.815', '1.783', '1.754', '1.744', '1.707', '1.695']
  C12: ['33.923', '32.652', '31.299', '29.927', '28.544', '27.294', '25.963', '24.607', '23.277', '21.927', '20.601', '19.272', '17.931', '16.591', '15.347', '13.979', '12.674', '11.476', '10.167', '8.860', '7.701', '6.612', '5.832', '5.180', '4.658', '4.148', '3.659', '3.498', '3.317', '3.205', '3.123', '3.023', '2.983', '2.943', '2.945', '2.840', '2.941', '2.801', '2.788', '2.720', '2.710', '2.724', '2.623', '2.624', '2.577', '2.536', '2.542', '2.499', '2.499', '2.449']
  C13: ['33.953', '32.602', '31.257', '29.985', '28.679', '27.270', '25.963', '24.642', '23.271', '22.009', '20.605', '19.305', '17.984', '16.607', '15.373', '14.000', '12.702', '11.434', '10.201', '8.928', '7.726', '6.602', '5.885', '5.179', '4.551', '4.052', '3.724', '3.488', '3.300', '3.202', '3.106', '3.126', '3.062', '2.958', '2.962', '2.879', '2.873', '2.846', '2.781', '2.748', '2.714', '2.732', '2.638', '2.616', '2.586', '2.589', '2.523', '2.466', '2.487', '2.451']
  C14: ['23.594', '22.685', '21.739', '20.831', '19.896', '18.962', '18.024', '17.141', '16.224', '15.233', '14.322', '13.402', '12.495', '11.558', '10.610', '9.680', '8.822', '7.919', '7.033', '6.198', '5.373', '4.594', '4.077', '3.597', '3.194', '2.807', '2.542', '2.440', '2.300', '2.238', '2.158', '2.169', '2.087', '2.043', '2.011', '2.028', '1.988', '1.974', '1.928', '1.890', '1.912', '1.897', '1.828', '1.813', '1.806', '1.772', '1.756', '1.725', '1.718', '1.690']
  C15: ['33.943', '32.612', '31.277', '29.940', '28.603', '27.273', '25.975', '24.590', '23.332', '21.891', '20.581', '19.275', '17.941', '16.618', '15.348', '13.968', '12.676', '11.428', '10.166', '8.907', '7.714', '6.722', '5.846', '5.167', '4.592', '4.096', '3.619', '3.452', '3.321', '3.218', '3.104', '3.067', '3.019', '2.976', '2.934', '2.870', '2.826', '2.810', '2.768', '2.750', '2.689', '2.643', '2.659', '2.618', '2.590', '2.565', '2.513', '2.500', '2.476', '2.440']
  C16: ['33.959', '32.623', '31.266', '29.991', '28.585', '27.289', '25.971', '24.615', '23.336', '21.969', '20.623', '19.325', '17.910', '16.654', '15.374', '13.947', '12.710', '11.399', '10.174', '8.976', '7.715', '6.641', '5.867', '5.184', '4.601', '4.095', '3.762', '3.463', '3.351', '3.207', '3.115', '3.053', '3.032', '2.963', '2.914', '2.882', '2.846', '2.808', '2.779', '2.735', '2.723', '2.692', '2.641', '2.584', '2.556', '2.556', '2.519', '2.468', '2.508', '2.465']
  C17: ['15.832', '15.181', '14.582', '13.967', '13.351', '12.727', '12.110', '11.488', '10.880', '10.244', '9.611', '9.031', '8.378', '7.767', '7.157', '6.509', '5.937', '5.306', '4.722', '4.160', '3.589', '3.129', '2.738', '2.422', '2.139', '1.926', '1.739', '1.631', '1.569', '1.540', '1.481', '1.477', '1.439', '1.433', '1.428', '1.435', '1.407', '1.388', '1.352', '1.349', '1.344', '1.317', '1.314', '1.313', '1.301', '1.289', '1.279', '1.260', '1.251', '1.255']
  C18: ['33.918', '32.565', '31.278', '29.932', '28.542', '27.282', '25.934', '24.612', '23.309', '21.949', '20.616', '19.343', '17.982', '16.600', '15.276', '13.971', '12.703', '11.464', '10.198', '8.902', '7.672', '6.570', '5.852', '5.177', '4.554', '4.063', '3.664', '3.497', '3.375', '3.234', '3.144', '3.053', '3.004', '2.971', '2.955', '2.895', '2.865', '2.812', '2.707', '2.718', '2.681', '2.624', '2.646', '2.604', '2.597', '2.542', '2.524', '2.505', '2.490', '2.452']
