Topologia: random_43comp_16AND_18OR
T_max: 500, Step: 10
============================================================

t	Range_α	Range_β	P_is	P_mc	std_is	std_mc
10.0	[11.76,12.49]	[5.45,5.95]	2.841411e-06	2.000000e-05	6.047156e-06	1.414199e-05
20.0	[10.72,11.52]	[5.08,5.58]	1.460167e-05	6.000000e-05	1.586020e-05	2.449416e-05
30.0	[9.69,10.57]	[4.70,5.20]	2.751310e-05	4.000000e-05	2.642494e-05	1.999960e-05
40.0	[8.67,9.65]	[4.34,4.84]	6.085017e-05	1.000000e-04	1.609673e-04	3.162120e-05
50.0	[7.64,8.74]	[3.96,4.46]	5.852548e-05	1.100000e-04	5.733751e-05	3.316442e-05
60.0	[6.62,7.85]	[3.56,4.06]	9.539469e-05	9.000000e-05	5.056295e-05	2.999865e-05
70.0	[5.73,7.08]	[3.17,3.68]	1.582435e-04	1.700000e-04	6.260775e-05	4.122755e-05
80.0	[4.88,6.36]	[2.82,3.34]	9.440438e-05	2.300000e-04	4.887314e-05	4.795280e-05
90.0	[4.07,5.68]	[2.50,3.02]	1.936165e-04	2.700000e-04	6.755126e-05	5.195451e-05
100.0	[3.49,5.16]	[2.30,2.82]	2.107896e-04	2.400000e-04	6.914946e-05	4.898392e-05
110.0	[3.15,4.84]	[2.13,2.66]	2.646230e-04	3.600000e-04	7.790250e-05	5.998920e-05
120.0	[2.85,4.55]	[1.98,2.51]	4.837681e-04	4.500000e-04	9.877245e-05	6.706694e-05
130.0	[2.57,4.28]	[1.84,2.37]	4.031127e-04	2.800000e-04	8.854424e-05	5.290762e-05
140.0	[2.32,4.04]	[1.72,2.25]	2.189999e-04	4.500000e-04	6.386181e-05	6.706694e-05
150.0	[2.09,3.81]	[1.61,2.14]	3.239827e-04	3.800000e-04	7.468154e-05	6.163243e-05
160.0	[1.88,3.62]	[1.52,2.05]	4.302827e-04	4.000000e-04	8.527062e-05	6.323290e-05
170.0	[1.70,3.45]	[1.43,1.97]	4.433708e-04	5.300000e-04	8.354428e-05	7.278180e-05
180.0	[1.55,3.30]	[1.36,1.90]	5.158176e-04	4.800000e-04	8.889221e-05	6.926540e-05
190.0	[1.43,3.18]	[1.30,1.84]	5.374095e-04	4.700000e-04	8.988216e-05	6.854043e-05
200.0	[1.33,3.08]	[1.26,1.79]	5.891071e-04	7.100000e-04	9.256879e-05	8.423158e-05
210.0	[1.27,3.03]	[1.22,1.76]	5.007354e-04	6.400000e-04	8.433592e-05	7.997440e-05
220.0	[1.25,2.99]	[1.21,1.74]	5.605110e-04	5.900000e-04	8.960616e-05	7.678879e-05
230.0	[1.23,2.96]	[1.20,1.73]	5.185551e-04	6.900000e-04	8.603475e-05	8.303758e-05
240.0	[1.21,2.93]	[1.19,1.71]	5.549756e-04	4.900000e-04	8.891881e-05	6.998285e-05
250.0	[1.19,2.90]	[1.18,1.70]	7.390341e-04	6.300000e-04	1.028212e-04	7.934753e-05
260.0	[1.18,2.87]	[1.17,1.69]	7.237699e-04	9.300000e-04	1.014382e-04	9.639165e-05
270.0	[1.16,2.84]	[1.16,1.68]	6.411906e-04	6.500000e-04	9.623015e-05	8.059637e-05
280.0	[1.15,2.82]	[1.15,1.67]	8.471496e-04	8.000000e-04	1.104329e-04	8.940693e-05
290.0	[1.14,2.79]	[1.14,1.66]	7.731225e-04	8.200000e-04	1.059589e-04	9.051672e-05
300.0	[1.13,2.77]	[1.13,1.65]	7.844173e-04	9.000000e-04	1.067212e-04	9.482563e-05
310.0	[1.12,2.75]	[1.12,1.64]	7.693919e-04	1.010000e-03	1.060087e-04	1.004480e-04
320.0	[1.11,2.73]	[1.12,1.63]	8.124607e-04	8.700000e-04	1.086647e-04	9.323321e-05
330.0	[1.10,2.70]	[1.11,1.62]	1.049153e-03	1.080000e-03	1.228387e-04	1.038669e-04
340.0	[1.09,2.68]	[1.10,1.61]	8.360204e-04	1.010000e-03	1.103547e-04	1.004480e-04
350.0	[1.08,2.66]	[1.10,1.60]	8.673425e-04	8.200000e-04	1.129528e-04	9.051672e-05
360.0	[1.08,2.64]	[1.09,1.60]	1.121795e-03	9.300000e-04	1.274604e-04	9.639165e-05
370.0	[1.07,2.62]	[1.08,1.59]	1.037131e-03	9.500000e-04	1.230765e-04	9.742164e-05
380.0	[1.06,2.61]	[1.08,1.58]	1.053176e-03	1.010000e-03	1.241801e-04	1.004480e-04
390.0	[1.06,2.59]	[1.07,1.58]	1.239828e-03	1.120000e-03	1.346203e-04	1.057708e-04
400.0	[1.05,2.57]	[1.07,1.57]	1.237268e-03	1.040000e-03	1.341208e-04	1.019273e-04
410.0	[1.05,2.56]	[1.06,1.57]	1.299704e-03	1.410000e-03	1.378186e-04	1.186597e-04
420.0	[1.04,2.54]	[1.06,1.56]	1.196117e-03	1.120000e-03	1.325697e-04	1.057708e-04
430.0	[1.04,2.52]	[1.06,1.56]	1.213464e-03	1.230000e-03	1.335823e-04	1.108371e-04
440.0	[1.04,2.51]	[1.05,1.55]	1.039680e-03	1.280000e-03	1.235506e-04	1.130647e-04
450.0	[1.03,2.49]	[1.05,1.55]	1.244498e-03	1.250000e-03	1.353273e-04	1.117335e-04
460.0	[1.03,2.48]	[1.04,1.55]	1.295263e-03	1.240000e-03	1.384670e-04	1.112862e-04
470.0	[1.03,2.46]	[1.04,1.54]	1.277133e-03	1.330000e-03	1.372462e-04	1.152489e-04
480.0	[1.02,2.45]	[1.04,1.54]	1.491476e-03	1.440000e-03	1.487375e-04	1.199136e-04
490.0	[1.02,2.44]	[1.03,1.54]	1.450665e-03	1.380000e-03	1.463817e-04	1.173923e-04
500.0	[1.02,2.42]	[1.03,1.53]	1.132896e-03	1.490000e-03	1.296329e-04	1.219746e-04

============================================================
ALPHA per componente:
  C0: ['12.118', '11.143', '10.141', '9.135', '8.173', '7.251', '6.403', '5.639', '4.863', '4.317', '3.941', '3.682', '3.402', '3.192', '2.981', '2.721', '2.597', '2.423', '2.298', '2.218', '2.112', '2.139', '2.077', '2.039', '2.005', '1.946', '1.971', '1.951', '1.974', '1.931', '1.932', '1.899', '1.959', '1.848', '1.850', '1.878', '1.817', '1.858', '1.820', '1.764', '1.794', '1.769', '1.753', '1.757', '1.784', '1.746', '1.786', '1.748', '1.695', '1.710']
  C1: ['12.120', '11.141', '10.127', '9.190', '8.191', '7.228', '6.380', '5.587', '4.893', '4.346', '3.975', '3.729', '3.444', '3.195', '2.962', '2.748', '2.523', '2.394', '2.307', '2.196', '2.122', '2.113', '2.107', '2.023', '2.096', '2.051', '2.011', '1.996', '1.968', '1.939', '1.980', '1.912', '1.844', '1.906', '1.884', '1.813', '1.876', '1.844', '1.816', '1.828', '1.788', '1.741', '1.845', '1.780', '1.759', '1.752', '1.706', '1.758', '1.711', '1.711']
  C2: ['12.136', '11.109', '10.129', '9.207', '8.181', '7.243', '6.424', '5.653', '4.890', '4.320', '3.988', '3.709', '3.434', '3.154', '2.966', '2.751', '2.530', '2.420', '2.336', '2.201', '2.196', '2.122', '2.069', '2.093', '2.077', '2.095', '2.066', '1.944', '1.986', '1.911', '1.923', '1.975', '1.834', '1.889', '1.872', '1.887', '1.823', '1.825', '1.826', '1.836', '1.784', '1.906', '1.823', '1.750', '1.774', '1.737', '1.779', '1.747', '1.753', '1.737']
  C3: ['12.134', '11.138', '10.131', '9.147', '8.168', '7.238', '6.397', '5.627', '4.835', '4.335', '3.977', '3.722', '3.437', '3.170', '2.953', '2.786', '2.551', '2.432', '2.340', '2.207', '2.149', '2.081', '2.107', '2.099', '2.062', '1.922', '2.025', '1.997', '1.976', '1.953', '1.918', '1.933', '1.980', '1.881', '1.862', '1.894', '1.840', '1.848', '1.807', '1.822', '1.812', '1.869', '1.762', '1.775', '1.769', '1.748', '1.753', '1.717', '1.688', '1.695']
  C4: ['12.118', '11.113', '10.138', '9.146', '8.181', '7.271', '6.421', '5.567', '4.894', '4.308', '4.006', '3.683', '3.435', '3.155', '2.939', '2.766', '2.579', '2.400', '2.322', '2.211', '2.185', '2.125', '2.076', '2.097', '2.104', '1.999', '2.030', '1.976', '2.017', '1.922', '1.964', '1.892', '1.848', '1.877', '1.853', '1.793', '1.852', '1.829', '1.828', '1.775', '1.819', '1.816', '1.798', '1.754', '1.749', '1.758', '1.750', '1.713', '1.648', '1.693']
  C5: ['12.126', '11.127', '10.124', '9.168', '8.184', '7.229', '6.383', '5.607', '4.841', '4.325', '4.008', '3.685', '3.430', '3.189', '2.978', '2.712', '2.565', '2.389', '2.303', '2.197', '2.162', '2.128', '2.080', '2.072', '2.018', '2.038', '2.010', '1.986', '1.938', '1.990', '1.897', '1.925', '1.916', '1.916', '1.877', '1.792', '1.883', '1.815', '1.832', '1.799', '1.802', '1.789', '1.761', '1.760', '1.783', '1.749', '1.744', '1.745', '1.740', '1.709']
  C6: ['12.122', '11.117', '10.134', '9.222', '8.181', '7.240', '6.398', '5.638', '4.841', '4.339', '3.951', '3.703', '3.378', '3.186', '2.923', '2.762', '2.582', '2.423', '2.285', '2.173', '2.201', '2.122', '2.099', '2.048', '2.067', '2.071', '2.028', '1.992', '1.988', '1.971', '1.968', '1.945', '1.873', '1.880', '1.879', '1.825', '1.837', '1.831', '1.829', '1.832', '1.776', '1.856', '1.825', '1.788', '1.758', '1.742', '1.711', '1.745', '1.758', '1.719']
  C7: ['12.118', '11.109', '10.128', '9.186', '8.200', '7.216', '6.425', '5.657', '4.899', '4.370', '3.991', '3.688', '3.405', '3.200', '2.921', '2.738', '2.587', '2.435', '2.322', '2.198', '2.125', '2.124', '2.059', '2.057', '2.005', '2.004', '2.057', '1.977', '1.970', '1.931', '1.939', '1.932', '1.795', '1.864', '1.858', '1.846', '1.864', '1.819', '1.802', '1.750', '1.794', '1.743', '1.776', '1.797', '1.742', '1.796', '1.744', '1.744', '1.723', '1.727']
  C8: ['12.132', '11.112', '10.115', '9.155', '8.185', '7.236', '6.405', '5.651', '4.919', '4.335', '3.920', '3.703', '3.438', '3.164', '2.951', '2.766', '2.609', '2.421', '2.308', '2.201', '2.082', '2.120', '2.090', '2.039', '1.993', '2.049', '2.005', '1.977', '1.937', '1.950', '1.899', '1.884', '1.799', '1.912', '1.865', '1.823', '1.851', '1.848', '1.804', '1.820', '1.801', '1.795', '1.820', '1.810', '1.767', '1.768', '1.731', '1.736', '1.734', '1.740']
  C9: ['12.116', '11.123', '10.134', '9.221', '8.179', '7.260', '6.418', '5.635', '4.902', '4.314', '3.942', '3.685', '3.420', '3.160', '2.992', '2.703', '2.627', '2.399', '2.291', '2.200', '2.098', '2.134', '2.076', '2.059', '2.065', '2.082', '2.018', '1.972', '1.993', '1.915', '1.922', '1.940', '1.847', '1.880', '1.888', '1.821', '1.860', '1.808', '1.800', '1.785', '1.811', '1.799', '1.764', '1.760', '1.753', '1.765', '1.744', '1.748', '1.730', '1.710']
  C10: ['12.116', '11.119', '10.133', '9.172', '8.180', '7.216', '6.415', '5.613', '4.876', '4.314', '4.033', '3.740', '3.422', '3.162', '2.883', '2.755', '2.582', '2.442', '2.285', '2.202', '2.141', '2.147', '2.098', '2.071', '2.007', '2.023', '2.035', '1.979', '1.985', '1.966', '1.913', '1.962', '1.894', '1.875', '1.869', '1.881', '1.844', '1.841', '1.813', '1.784', '1.803', '1.767', '1.809', '1.784', '1.764', '1.777', '1.793', '1.740', '1.749', '1.727']
  C11: ['12.118', '11.115', '10.116', '9.088', '8.205', '7.241', '6.428', '5.628', '4.929', '4.306', '3.930', '3.722', '3.386', '3.160', '2.921', '2.745', '2.608', '2.452', '2.330', '2.215', '2.158', '2.103', '2.125', '2.112', '2.047', '2.031', '2.001', '1.979', '2.014', '1.954', '1.892', '1.942', '1.873', '1.864', '1.882', '1.810', '1.854', '1.865', '1.829', '1.787', '1.787', '1.846', '1.750', '1.787', '1.788', '1.745', '1.739', '1.736', '1.722', '1.725']
  C12: ['12.110', '11.145', '10.129', '9.153', '8.184', '7.253', '6.399', '5.626', '4.855', '4.365', '4.024', '3.671', '3.420', '3.179', '3.000', '2.728', '2.568', '2.416', '2.322', '2.198', '2.147', '2.124', '2.063', '2.052', '1.989', '1.947', '1.980', '1.968', '1.930', '1.979', '1.891', '1.893', '1.880', '1.928', '1.852', '1.820', '1.799', '1.819', '1.827', '1.821', '1.803', '1.747', '1.840', '1.783', '1.755', '1.767', '1.738', '1.742', '1.711', '1.710']
