Topologia: rare_40comp_13AND_26OR
T_max: 250, Step: 2
Metodo: DirectPredictor + Adaptive IS + SMC + Weight Clipping
SMC steps: 20, ESS threshold: 0.5, Clip: 90%
====================================================================================================

t	P_is	P_mc	std_is	std_mc	cv_is	cv_mc	n_top_is	n_top_mc	ess	ess_ratio
2.0	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	inf	inf	0	0	0.00	0.0000
4.0	2.058875e-10	0.000000e+00	5.010637e-11	0.000000e+00	0.3442	inf	2	0	1.76	0.8805
6.0	1.953909e-10	0.000000e+00	7.969230e-11	0.000000e+00	0.7064	inf	3	0	2.00	0.6657
8.0	3.532940e-10	0.000000e+00	1.482335e-10	0.000000e+00	0.9382	inf	5	0	2.63	0.5269
10.0	2.994363e-10	0.000000e+00	9.937805e-11	0.000000e+00	0.8129	inf	6	0	3.57	0.5955
12.0	3.024199e-10	0.000000e+00	8.858454e-11	0.000000e+00	0.6550	inf	5	0	3.13	0.6257
14.0	3.904760e-10	0.000000e+00	9.337212e-11	0.000000e+00	0.7562	inf	10	0	6.11	0.6115
16.0	3.305815e-10	0.000000e+00	1.375283e-10	0.000000e+00	1.0190	inf	6	0	2.91	0.4857
18.0	5.264868e-10	0.000000e+00	1.489581e-10	0.000000e+00	1.0586	inf	14	0	1.58	0.1132
20.0	1.176513e-09	0.000000e+00	2.703927e-10	0.000000e+00	0.8286	inf	13	0	7.38	0.5678
22.0	1.122201e-09	0.000000e+00	3.283991e-10	0.000000e+00	1.0551	inf	13	0	4.69	0.3608
24.0	2.713099e-09	0.000000e+00	1.190652e-09	0.000000e+00	1.5823	inf	13	0	2.94	0.2265
26.0	1.243525e-09	0.000000e+00	2.482688e-10	0.000000e+00	0.8232	inf	17	0	8.72	0.5131
28.0	1.090048e-09	0.000000e+00	2.954997e-10	0.000000e+00	1.1816	inf	19	0	3.21	0.1688
30.0	1.049293e-09	0.000000e+00	2.895548e-10	0.000000e+00	1.0325	inf	14	0	4.40	0.3145
32.0	2.581976e-09	1.000000e-07	6.253589e-10	9.999999e-08	1.1099	1.0000	21	1	6.78	0.3231
34.0	2.165890e-09	0.000000e+00	4.271994e-10	0.000000e+00	1.0249	inf	27	0	3.41	0.1262
36.0	2.807321e-09	0.000000e+00	5.429861e-10	0.000000e+00	1.0235	inf	28	0	6.34	0.2264
38.0	3.472442e-09	0.000000e+00	7.939179e-10	0.000000e+00	1.3134	inf	33	0	6.53	0.1978
40.0	3.496657e-09	0.000000e+00	1.013658e-09	0.000000e+00	1.6653	inf	33	0	4.00	0.1211
42.0	4.697507e-09	0.000000e+00	1.376884e-09	0.000000e+00	1.4359	inf	24	0	1.32	0.0548
44.0	4.593493e-09	0.000000e+00	8.569171e-10	0.000000e+00	1.0387	inf	31	0	8.84	0.2851
46.0	2.681405e-09	1.000000e-07	6.011066e-10	9.999999e-08	1.0751	1.0000	23	1	6.37	0.2771
48.0	3.909334e-09	0.000000e+00	9.615018e-10	0.000000e+00	1.3014	inf	28	0	6.13	0.2189
50.0	5.145646e-09	0.000000e+00	7.262169e-10	0.000000e+00	0.9467	inf	45	0	4.57	0.1015
52.0	5.254627e-09	0.000000e+00	1.223845e-09	0.000000e+00	1.3581	inf	34	0	8.26	0.2429
54.0	6.230201e-09	0.000000e+00	1.011466e-09	0.000000e+00	1.1130	inf	47	0	12.28	0.2613
56.0	1.230392e-08	0.000000e+00	3.860256e-09	0.000000e+00	2.0573	inf	43	0	5.01	0.1166
58.0	4.650001e-09	0.000000e+00	5.916956e-10	0.000000e+00	0.9774	inf	59	0	21.96	0.3721
60.0	4.885508e-09	0.000000e+00	6.778095e-10	0.000000e+00	1.0289	inf	55	0	7.40	0.1346
62.0	6.775277e-09	0.000000e+00	1.095815e-09	0.000000e+00	1.3337	inf	68	0	3.07	0.0451
64.0	4.417826e-09	0.000000e+00	7.030276e-10	0.000000e+00	1.1694	inf	54	0	17.56	0.3251
66.0	6.350687e-09	1.000000e-07	9.936100e-10	9.999999e-08	1.2220	1.0000	61	1	18.67	0.3060
68.0	1.112658e-08	0.000000e+00	1.608617e-09	0.000000e+00	1.1566	inf	64	0	12.63	0.1974
70.0	6.207597e-09	0.000000e+00	9.529394e-10	0.000000e+00	1.0746	inf	49	0	6.64	0.1356
72.0	7.343356e-09	0.000000e+00	1.114464e-09	0.000000e+00	1.2515	inf	68	0	8.88	0.1306
74.0	4.318667e-09	0.000000e+00	5.871400e-10	0.000000e+00	1.1375	inf	70	0	20.53	0.2933
76.0	6.675285e-09	0.000000e+00	1.364159e-09	0.000000e+00	1.4878	inf	53	0	14.53	0.2742
78.0	6.590478e-09	0.000000e+00	9.559460e-10	0.000000e+00	1.0855	inf	56	0	8.09	0.1445
80.0	7.382407e-09	0.000000e+00	1.106832e-09	0.000000e+00	1.0915	inf	53	0	21.40	0.4038
82.0	7.674949e-09	0.000000e+00	1.189275e-09	0.000000e+00	0.9800	inf	40	0	10.06	0.2515
84.0	1.136243e-08	0.000000e+00	2.598113e-09	0.000000e+00	1.4641	inf	41	0	8.86	0.2160
86.0	6.652873e-09	0.000000e+00	1.310203e-09	0.000000e+00	1.1979	inf	37	0	12.72	0.3438
88.0	5.735824e-09	0.000000e+00	9.630465e-10	0.000000e+00	1.0350	inf	38	0	5.67	0.1493
90.0	8.818504e-09	0.000000e+00	1.154127e-09	0.000000e+00	0.9967	inf	58	0	7.15	0.1232
92.0	8.715742e-09	0.000000e+00	1.847391e-09	0.000000e+00	1.2893	inf	37	0	4.51	0.1220
94.0	1.284536e-08	0.000000e+00	2.444623e-09	0.000000e+00	1.2186	inf	41	0	14.11	0.3442
96.0	8.465740e-09	0.000000e+00	1.444827e-09	0.000000e+00	1.0521	inf	38	0	6.67	0.1756
98.0	1.296685e-08	0.000000e+00	3.469324e-09	0.000000e+00	1.5829	inf	35	0	6.39	0.1826
100.0	1.509937e-08	0.000000e+00	2.428171e-09	0.000000e+00	1.1257	inf	49	0	15.54	0.3171
102.0	1.049415e-08	0.000000e+00	1.479431e-09	0.000000e+00	0.9351	inf	44	0	13.40	0.3044
104.0	1.334874e-08	0.000000e+00	2.766192e-09	0.000000e+00	1.2605	inf	37	0	7.40	0.2000
106.0	8.649597e-09	0.000000e+00	1.600254e-09	0.000000e+00	1.2951	inf	49	0	6.80	0.1388
108.0	9.861217e-09	0.000000e+00	1.632810e-09	0.000000e+00	1.0858	inf	43	0	14.90	0.3465
110.0	1.387086e-08	0.000000e+00	2.504346e-09	0.000000e+00	1.1701	inf	42	0	16.56	0.3942
112.0	5.648616e-09	0.000000e+00	1.160438e-09	0.000000e+00	1.3154	inf	41	0	4.62	0.1126
114.0	7.188337e-09	0.000000e+00	1.369083e-09	0.000000e+00	1.0774	inf	32	0	8.01	0.2503
116.0	1.584832e-08	0.000000e+00	2.716215e-09	0.000000e+00	1.1874	inf	48	0	2.91	0.0605
118.0	7.195250e-09	0.000000e+00	1.202720e-09	0.000000e+00	1.1701	inf	49	0	5.33	0.1088
