Topologia: random_11comp_2AND_2OR
T_max: 500, Step: 5
============================================================

t	Range_α	Range_β	P_is	P_mc	std_is	std_mc
5.0	[7.04,10.25]	[3.53,4.04]	1.263870e-03	1.466826e-03	8.198685e-04	1.618650e-04
10.0	[6.91,10.07]	[3.50,4.00]	2.207298e-03	3.219863e-03	1.094944e-03	2.396077e-04
15.0	[6.77,9.89]	[3.47,3.97]	3.934355e-03	3.899612e-03	1.475158e-03	2.635996e-04
20.0	[6.64,9.72]	[3.44,3.94]	5.047130e-03	5.759977e-03	1.696169e-03	3.200652e-04
25.0	[6.51,9.54]	[3.41,3.92]	6.677483e-03	7.012146e-03	1.973509e-03	3.529229e-04
30.0	[6.38,9.36]	[3.38,3.89]	6.395565e-03	9.087169e-03	1.943531e-03	4.013419e-04
35.0	[6.25,9.19]	[3.35,3.86]	1.370206e-02	9.999463e-03	2.910480e-03	4.208124e-04
40.0	[6.12,9.01]	[3.32,3.83]	1.195770e-02	1.169884e-02	2.695570e-03	4.547769e-04
45.0	[5.99,8.84]	[3.29,3.80]	1.002002e-02	1.279001e-02	2.517557e-03	4.752506e-04
50.0	[5.87,8.67]	[3.26,3.77]	1.597431e-02	1.359498e-02	3.193383e-03	4.897781e-04
55.0	[5.73,8.48]	[3.23,3.74]	1.686927e-02	1.504392e-02	3.520623e-03	5.148389e-04
60.0	[5.59,8.29]	[3.20,3.70]	1.813338e-02	1.688639e-02	3.482628e-03	5.449451e-04
65.0	[5.45,8.10]	[3.17,3.67]	1.272544e-02	1.892564e-02	3.312098e-03	5.763134e-04
70.0	[5.31,7.90]	[3.13,3.64]	1.125320e-01	1.951595e-02	3.147865e-02	5.850561e-04

============================================================
ALPHA per componente:
  C0: ['8.711', '8.296', '8.317', '8.096', '8.050', '7.759', '7.672', '7.548', '7.409', '7.254', '7.170', '6.882', '6.825', '6.587']
  C1: ['8.596', '8.323', '8.389', '8.222', '7.959', '7.890', '7.681', '7.614', '7.402', '7.461', '7.076', '7.039', '6.684', '6.616']
  C2: ['8.724', '8.539', '8.351', '8.131', '8.106', '7.854', '7.694', '7.633', '7.160', '7.262', '7.114', '6.863', '6.828', '6.659']
  C3: ['8.545', '8.383', '8.320', '8.264', '8.003', '7.742', '7.759', '7.578', '7.629', '7.278', '7.173', '6.894', '6.922', '6.543']
  C4: ['8.579', '8.594', '8.345', '8.237', '7.974', '7.800', '7.649', '7.590', '7.160', '7.218', '7.176', '7.136', '6.832', '6.592']
  C5: ['8.702', '8.543', '8.449', '8.115', '8.079', '7.750', '7.758', '7.564', '7.456', '7.372', '7.156', '6.914', '6.652', '6.623']
  C6: ['8.626', '8.553', '8.203', '8.195', '7.933', '7.845', '7.715', '7.558', '7.325', '7.128', '7.097', '7.032', '6.740', '6.657']
  C7: ['8.606', '8.342', '8.397', '8.277', '8.029', '7.928', '7.713', '7.610', '7.476', '7.272', '7.170', '6.823', '6.846', '6.646']
  C8: ['8.649', '8.371', '8.468', '8.241', '8.103', '7.697', '7.691', '7.573', '7.495', '7.219', '7.052', '6.750', '6.782', '6.630']
  C9: ['8.724', '8.550', '8.308', '8.192', '8.032', '7.919', '7.738', '7.568', '7.661', '7.348', '7.089', '6.834', '6.745', '6.588']
  C10: ['8.623', '8.574', '8.373', '8.256', '8.001', '7.815', '7.733', '7.559', '7.295', '7.222', '7.132', '6.809', '6.811', '6.644']

BETA per componente:
  C0: ['3.782', '3.755', '3.705', '3.705', '3.660', '3.647', '3.599', '3.571', '3.502', '3.507', '3.479', '3.435', '3.435', '3.377']
  C1: ['3.771', '3.742', '3.719', '3.682', '3.675', '3.628', '3.616', '3.586', '3.595', '3.500', '3.487', '3.471', '3.394', '3.376']
  C2: ['3.776', '3.736', '3.747', '3.691', '3.653', '3.617', '3.612', '3.576', '3.551', '3.508', '3.472', '3.476', '3.419', '3.391']
  C3: ['3.799', '3.730', '3.771', '3.679', '3.675', '3.628', '3.606', '3.581', '3.565', '3.528', '3.475', '3.456', '3.407', '3.380']
  C4: ['3.780', '3.754', '3.697', '3.697', '3.672', '3.642', '3.613', '3.576', '3.595', '3.547', '3.480', '3.450', '3.427', '3.403']
  C5: ['3.769', '3.728', '3.724', '3.694', '3.680', '3.658', '3.616', '3.571', '3.539', '3.511', '3.481', '3.473', '3.405', '3.369']
  C6: ['3.787', '3.769', '3.721', '3.693', '3.669', '3.613', '3.603', '3.583', '3.561', '3.534', '3.485', '3.448', '3.412', '3.379']
  C7: ['3.767', '3.756', '3.720', '3.684', '3.667', '3.644', '3.601', '3.577', '3.511', '3.530', '3.473', '3.446', '3.418', '3.390']
  C8: ['3.786', '3.741', '3.692', '3.695', '3.669', '3.623', '3.600', '3.578', '3.534', '3.520', '3.479', '3.434', '3.421', '3.400']
  C9: ['3.785', '3.758', '3.706', '3.690', '3.678', '3.618', '3.591', '3.565', '3.548', '3.534', '3.484', '3.449', '3.402', '3.380']
  C10: ['3.789', '3.757', '3.716', '3.673', '3.675', '3.610', '3.612', '3.584', '3.596', '3.515', '3.485', '3.449', '3.425', '3.385']
