Topologia: rare_12comp_3AND_4OR
T_max: 100, Step: 2
Metodo: DirectPredictor + Adaptive IS + SMC + Weight Clipping
SMC steps: 10, ESS threshold: 0.5, Clip: 90%
Pointwise CI: normal approximation on MC estimates (95%)
DKW band: simultaneous 95% band on MC estimates
====================================================================================================

t	P_is	P_mc	std_is	std_mc	cp_lo	cp_hi	dkw_lo	dkw_hi	cv_is	cv_mc	n_top_is	n_top_mc	ess	ess_ratio
2.0	6.050190e-05	7.640000e-05	5.580897e-07	2.763949e-06	7.117140e-05	8.201269e-05	0.000000e+00	5.058694e-04	0.0433	0.0362	22	764	21.96	0.9981
4.0	2.667090e-04	2.593000e-04	3.028417e-06	5.091491e-06	2.495110e-04	2.694730e-04	0.000000e+00	6.887694e-04	0.1152	0.0196	103	2593	101.60	0.9864
6.0	4.597681e-04	4.991000e-04	7.770361e-06	7.062938e-06	4.854475e-04	5.131363e-04	6.963059e-05	9.285694e-04	0.2286	0.0142	183	4991	173.73	0.9493
8.0	6.486200e-04	7.693000e-04	1.006876e-05	8.767600e-06	7.523065e-04	7.866770e-04	3.398306e-04	1.198769e-03	0.2464	0.0114	252	7693	237.23	0.9414
10.0	1.113475e-03	1.069800e-03	1.513277e-05	1.033758e-05	1.049729e-03	1.090254e-03	6.403306e-04	1.499269e-03	0.2838	0.0097	436	10698	402.77	0.9238
12.0	1.351193e-03	1.382300e-03	1.776424e-05	1.174900e-05	1.359463e-03	1.405520e-03	9.528306e-04	1.811769e-03	0.3010	0.0085	524	13823	479.17	0.9144
14.0	1.762774e-03	1.719200e-03	1.955264e-05	1.310055e-05	1.693714e-03	1.745069e-03	1.289731e-03	2.148669e-03	0.2839	0.0076	655	17192	604.27	0.9225
16.0	2.130725e-03	2.078600e-03	2.484998e-05	1.440236e-05	2.050563e-03	2.107020e-03	1.649131e-03	2.508069e-03	0.3280	0.0069	791	20786	711.36	0.8993
18.0	2.446975e-03	2.401500e-03	2.677043e-05	1.547815e-05	2.371354e-03	2.432028e-03	1.972031e-03	2.830969e-03	0.3247	0.0064	881	24015	793.31	0.9005
20.0	2.702213e-03	2.740600e-03	2.944936e-05	1.653206e-05	2.708388e-03	2.773194e-03	2.311131e-03	3.170069e-03	0.3371	0.0060	957	27406	855.23	0.8937
22.0	3.138801e-03	3.138400e-03	3.190006e-05	1.768771e-05	3.103923e-03	3.173259e-03	2.708931e-03	3.567869e-03	0.3323	0.0056	1069	31384	958.02	0.8962
24.0	3.547981e-03	3.537800e-03	3.485615e-05	1.877574e-05	3.501190e-03	3.574791e-03	3.108331e-03	3.967269e-03	0.3370	0.0053	1177	35378	1051.46	0.8933
26.0	3.773051e-03	3.880900e-03	3.816920e-05	1.966174e-05	3.842554e-03	3.919627e-03	3.451431e-03	4.310369e-03	0.3548	0.0051	1230	38809	1086.63	0.8834
28.0	4.076530e-03	4.213400e-03	3.973527e-05	2.048328e-05	4.173444e-03	4.253737e-03	3.783931e-03	4.642869e-03	0.3516	0.0049	1301	42134	1150.40	0.8842
30.0	4.408901e-03	4.614300e-03	4.050568e-05	2.143130e-05	4.572485e-03	4.656495e-03	4.184831e-03	5.043769e-03	0.3356	0.0046	1334	46143	1191.51	0.8932
32.0	4.882808e-03	4.953600e-03	4.421876e-05	2.220149e-05	4.910276e-03	4.997305e-03	4.524131e-03	5.383069e-03	0.3432	0.0045	1436	49536	1274.96	0.8879
34.0	5.319990e-03	5.373200e-03	4.622103e-05	2.311780e-05	5.328080e-03	5.418700e-03	4.943731e-03	5.802669e-03	0.3392	0.0043	1524	53732	1356.66	0.8902
36.0	5.838021e-03	5.700000e-03	4.667166e-05	2.380653e-05	5.653530e-03	5.746850e-03	5.270531e-03	6.129469e-03	0.3174	0.0042	1576	57000	1422.61	0.9027
38.0	6.065531e-03	6.103500e-03	5.020362e-05	2.462975e-05	6.055416e-03	6.151964e-03	5.674031e-03	6.532969e-03	0.3322	0.0040	1611	61035	1440.87	0.8944
40.0	6.103375e-03	6.433200e-03	5.011185e-05	2.528204e-05	6.383837e-03	6.482942e-03	6.003731e-03	6.862669e-03	0.3254	0.0039	1571	64332	1409.41	0.8971
42.0	6.978746e-03	6.803400e-03	5.437026e-05	2.599445e-05	6.752641e-03	6.854538e-03	6.373931e-03	7.232869e-03	0.3233	0.0038	1722	68034	1549.65	0.8999
44.0	6.594241e-03	7.237900e-03	5.050652e-05	2.680581e-05	7.185551e-03	7.290628e-03	6.808431e-03	7.667369e-03	0.3042	0.0037	1577	72379	1435.10	0.9100
46.0	7.299208e-03	7.558700e-03	5.493075e-05	2.738899e-05	7.505207e-03	7.612571e-03	7.129231e-03	7.988169e-03	0.3081	0.0036	1676	75587	1521.40	0.9078
48.0	8.306120e-03	7.983200e-03	5.632622e-05	2.814155e-05	7.928232e-03	8.038546e-03	7.553731e-03	8.412669e-03	0.2895	0.0035	1822	79832	1672.37	0.9179
50.0	8.073873e-03	8.306400e-03	5.545529e-05	2.870088e-05	8.250336e-03	8.362842e-03	7.876931e-03	8.735869e-03	0.2867	0.0035	1742	83064	1599.64	0.9183
52.0	8.657327e-03	8.734700e-03	5.786598e-05	2.942517e-05	8.677216e-03	8.792561e-03	8.305231e-03	9.164169e-03	0.2818	0.0034	1777	87347	1638.30	0.9219
54.0	9.006572e-03	9.116400e-03	5.641124e-05	3.005543e-05	9.057681e-03	9.175496e-03	8.686931e-03	9.545869e-03	0.2651	0.0033	1792	91164	1666.32	0.9299
56.0	9.379373e-03	9.494200e-03	5.706096e-05	3.066604e-05	9.434284e-03	9.554493e-03	9.064731e-03	9.923669e-03	0.2574	0.0032	1790	94942	1671.16	0.9336
58.0	9.951743e-03	9.831700e-03	5.621702e-05	3.120102e-05	9.770735e-03	9.893041e-03	9.402231e-03	1.026117e-02	0.2411	0.0032	1822	98317	1714.96	0.9413
60.0	1.004870e-02	1.022520e-02	5.698796e-05	3.181296e-05	1.016304e-02	1.028774e-02	9.795731e-03	1.065467e-02	0.2397	0.0031	1786	102252	1682.62	0.9421
