Topologia: rare_33comp_6AND_12OR
T_max: 250, Step: 5
Metodo: DirectPredictor + Adaptive IS (CE iter=5)
======================================================================

t	P_is	P_mc	std_is	std_mc	n_top_is	n_top_mc
5.0	7.003698e-10	0.000000e+00	7.003698e-10	0.000000e+00	1	0
10.0	2.371609e-10	0.000000e+00	4.982095e-12	0.000000e+00	2	0
15.0	2.968705e-10	0.000000e+00	9.883560e-11	0.000000e+00	3	0
20.0	1.626007e-08	0.000000e+00	3.359995e-09	0.000000e+00	14	0
25.0	9.363432e-09	0.000000e+00	4.316547e-09	0.000000e+00	11	0
30.0	2.169174e-08	0.000000e+00	6.418481e-09	0.000000e+00	21	0
35.0	2.376427e-08	0.000000e+00	5.997369e-09	0.000000e+00	26	0
40.0	3.645958e-08	1.000000e-06	1.232114e-08	9.999995e-07	24	1
45.0	3.268018e-08	0.000000e+00	1.398489e-08	0.000000e+00	31	0
50.0	3.510556e-08	0.000000e+00	2.277995e-08	0.000000e+00	26	0
55.0	3.608177e-08	0.000000e+00	9.631183e-09	0.000000e+00	35	0
60.0	4.540679e-08	0.000000e+00	2.815669e-08	0.000000e+00	19	0
65.0	3.360459e-08	0.000000e+00	1.326277e-08	0.000000e+00	31	0
70.0	1.384551e-07	0.000000e+00	5.504645e-08	0.000000e+00	37	0
75.0	4.383225e-08	0.000000e+00	1.198228e-08	0.000000e+00	28	0
80.0	6.587447e-08	0.000000e+00	2.370180e-08	0.000000e+00	34	0
85.0	1.314565e-07	0.000000e+00	6.293240e-08	0.000000e+00	44	0
90.0	2.195220e-08	0.000000e+00	8.573557e-09	0.000000e+00	22	0
95.0	4.492153e-08	0.000000e+00	2.899262e-08	0.000000e+00	22	0
100.0	6.470765e-08	0.000000e+00	2.028455e-08	0.000000e+00	25	0
105.0	4.578015e-08	0.000000e+00	1.223697e-08	0.000000e+00	36	0
110.0	4.424247e-08	0.000000e+00	1.124293e-08	0.000000e+00	36	0
115.0	6.847123e-07	0.000000e+00	6.279097e-07	0.000000e+00	17	0
120.0	3.907375e-08	0.000000e+00	1.942931e-08	0.000000e+00	14	0
125.0	2.406522e-08	0.000000e+00	1.109175e-08	0.000000e+00	21	0
130.0	4.428017e-08	1.333333e-06	1.925659e-08	1.333332e-06	18	1
135.0	9.313941e-08	0.000000e+00	4.001068e-08	0.000000e+00	28	0
140.0	7.683444e-08	0.000000e+00	2.848143e-08	0.000000e+00	22	0
145.0	5.062264e-08	0.000000e+00	2.270599e-08	0.000000e+00	14	0
150.0	1.558761e-07	0.000000e+00	9.868575e-08	0.000000e+00	20	0
155.0	9.363465e-08	0.000000e+00	2.774365e-08	0.000000e+00	15	0
160.0	8.268370e-08	0.000000e+00	3.087136e-08	0.000000e+00	17	0
165.0	7.590316e-08	0.000000e+00	2.900897e-08	0.000000e+00	15	0
170.0	5.610914e-08	0.000000e+00	1.785983e-08	0.000000e+00	11	0
175.0	1.005206e-07	0.000000e+00	8.907167e-08	0.000000e+00	9	0
180.0	1.843385e-08	0.000000e+00	1.062676e-08	0.000000e+00	9	0
185.0	1.721553e-07	0.000000e+00	4.847809e-08	0.000000e+00	14	0
190.0	3.500635e-08	0.000000e+00	1.911341e-08	0.000000e+00	10	0
195.0	4.050794e-08	1.333333e-06	1.770409e-08	1.333332e-06	10	1
200.0	3.406755e-08	0.000000e+00	1.187449e-08	0.000000e+00	8	0
205.0	1.012354e-07	0.000000e+00	4.185315e-08	0.000000e+00	17	0
210.0	3.787530e-08	0.000000e+00	1.395256e-08	0.000000e+00	4	0
215.0	1.156266e-07	0.000000e+00	6.186109e-08	0.000000e+00	13	0
220.0	3.207478e-08	0.000000e+00	1.520460e-08	0.000000e+00	9	0
225.0	1.077368e-07	0.000000e+00	3.420997e-08	0.000000e+00	7	0
230.0	1.117624e-07	0.000000e+00	3.471207e-08	0.000000e+00	9	0
235.0	1.496032e-07	1.333333e-06	6.284943e-08	1.333332e-06	9	1
240.0	9.113024e-08	1.333333e-06	5.371677e-08	1.333332e-06	8	1
245.0	8.214023e-08	0.000000e+00	4.561300e-08	0.000000e+00	12	0
250.0	3.029972e-07	0.000000e+00	1.217226e-07	0.000000e+00	9	0
